,topic,words
20,20,"[('suppliant', 0.056574043), ('voornoemde', 0.035532326), ('lankhorst', 0.028581232), ('doe', 0.019746792), ('koejen', 0.016517472), ('eet', 0.013101568), ('vraagen', 0.012834556), ('betaalen', 0.011551272), ('boelhuismeester', 0.01103607), ('dye', 0.0106018), ('vas', 0.010266807), ('verkocht', 0.009940782), ('luijck', 0.00879242), ('geboren', 0.008003588), ('woort', 0.0076911114), ('och', 0.007670553), ('branden', 0.0074498933), ('nogh', 0.007417447), ('joncker', 0.007416657), ('patrouille', 0.0072682113), ('spanien', 0.0071883276), ('spaengiaerts', 0.006932009), ('vaeren', 0.0063731885), ('philippus', 0.005941343), ('laste', 0.0059198383), ('wandt', 0.0058996147), ('susteren', 0.0058560185), ('schepel', 0.0055284067), ('maaijen', 0.005409835), ('seggen', 0.005205588)]"
21,21,"[('hebbe', 0.00802666), ('utrecht', 0.0077543133), ('betaelt', 0.007651262), ('liefften', 0.0062628044), ('inder', 0.005883851), ('maire', 0.005656459), ('huyzen', 0.005561445), ('ontfangen', 0.005241084), ('dair', 0.005067292), ('uwe', 0.0049643693), ('besluyt', 0.0044554966), ('bruessel', 0.0040135887), ('verselt', 0.003996089), ('oick', 0.0038741035), ('voir', 0.0038332741), ('etc', 0.0037660897), ('gelt', 0.0036696366), ('voorwerp', 0.0036127039), ('gijselinge', 0.0035226), ('maiestaet', 0.00352064), ('vergaderinge', 0.0035047724), ('landts', 0.0034522214), ('sera', 0.0033635003), ('ick', 0.0033096573), ('susters', 0.0032775267), ('all', 0.0032271224), ('vereert', 0.0031935463), ('vandie', 0.0031344395), ('paijs', 0.003127868), ('aert', 0.0031138065)]"
22,22,"[('holland', 0.005866993), ('gelijk', 0.0053018983), ('geene', 0.005035826), ('wegens', 0.0047907545), ('purmerende', 0.0046904893), ('oranje', 0.0046226466), ('zie', 0.0045216824), ('god', 0.0043552336), ('enz', 0.004227919), ('uw', 0.0041297344), ('pagter', 0.0040385714), ('ieder', 0.0040135607), ('vergadering', 0.0040119537), ('willem', 0.0039268513), ('zulks', 0.0038526955), ('stads', 0.0038060292), ('dus', 0.0033838416), ('gesteld', 0.0032597347), ('zien', 0.003212395), ('yder', 0.003069978), ('heefd', 0.0030267697), ('dewelke', 0.0029744003), ('bekend', 0.0028825032), ('wezen', 0.0028517945), ('zelfs', 0.0027040062), ('goed', 0.0026503138), ('redelijk', 0.0026048615), ('wil', 0.002557292), ('hoogheid', 0.0025069194), ('deel', 0.00249922)]"
23,23,"[('brugge', 0.025670666), ('jor', 0.014486306), ('vlaenderen', 0.012155754), ('vervoert', 0.012002924), ('parijs', 0.011189567), ('binnen', 0.011040784), ('gend', 0.00899345), ('pastor', 0.008717317), ('hetzelve', 0.008255477), ('gendt', 0.007942843), ('plaetse', 0.007076238), ('hooftschepenen', 0.0069159656), ('wegens', 0.006842992), ('eedt', 0.006578728), ('stukken', 0.0058493274), ('begonst', 0.005639858), ('marie', 0.005228448), ('wordt', 0.005141706), ('aengekomen', 0.005008589), ('weenen', 0.0048014806), ('fort', 0.004786082), ('andermael', 0.004507383), ('gillis', 0.0044768853), ('hetgeen', 0.004410071), ('dor', 0.0041364417), ('nopende', 0.0040910314), ('nogtans', 0.004064907), ('venetien', 0.004057709), ('zulks', 0.004005465), ('orgel', 0.0039404784)]"
24,24,"[('koning', 0.0142114), ('maend', 0.011557001), ('zynde', 0.01053362), ('gewapende', 0.008590549), ('president', 0.0085867895), ('raed', 0.008465589), ('inwoonders', 0.008312936), ('ses', 0.008028873), ('clooster', 0.007985232), ('kerke', 0.0074413964), ('brussel', 0.0068013556), ('welken', 0.0065001156), ('juny', 0.006125939), ('gilde', 0.0060766484), ('fransch', 0.005711088), ('pond', 0.0055551413), ('baron', 0.0055371844), ('prys', 0.005528092), ('vyf', 0.0053950245), ('francs', 0.0053586685), ('graanen', 0.00531225), ('gewesen', 0.0052165817), ('eerwaarde', 0.0051583173), ('vrankryk', 0.005120605), ('ridder', 0.0048351935), ('geviert', 0.0047064703), ('zelven', 0.004639823), ('spelen', 0.0046144426), ('comme', 0.0044642654), ('may', 0.0044461456)]"
25,25,"[('gulden', 0.035679042), ('rotterdam', 0.023714103), ('voeten', 0.021832086), ('oude', 0.019615272), ('sint', 0.018834196), ('steen', 0.018140534), ('poort', 0.014796131), ('bosch', 0.013549386), ('nieuwe', 0.011590127), ('worde', 0.011031872), ('straet', 0.010085604), ('werde', 0.009980394), ('wert', 0.009509719), ('ao', 0.008957061), ('lant', 0.008405687), ('haven', 0.008244126), ('vant', 0.007423739), ('hondert', 0.007400116), ('west', 0.007147687), ('eersten', 0.007064745), ('jans', 0.006972302), ('afgebroken', 0.006760103), ('steenen', 0.0066359807), ('straetjen', 0.006321258), ('gemaeckt', 0.0062894598), ('tussen', 0.006259196), ('brugge', 0.0060613723), ('oost', 0.005915597), ('genaempt', 0.0059147333), ('hiet', 0.005778018)]"
26,26,"[('schepenen', 0.022945786), ('voors', 0.010896824), ('binnen', 0.010700717), ('sullen', 0.010653888), ('ick', 0.01032043), ('seide', 0.009800005), ('neffens', 0.008995871), ('sinte', 0.008169463), ('wesende', 0.0078076366), ('inden', 0.0071879877), ('keure', 0.007034777), ('wesen', 0.0069422657), ('vant', 0.006811622), ('vooren', 0.006714299), ('plaetse', 0.0065258374), ('ande', 0.0058216415), ('voornomde', 0.005596219), ('wercken', 0.005575805), ('ordonnantie', 0.005427096), ('secretaris', 0.00525856), ('alsoo', 0.0052553043), ('collegie', 0.0051851408), ('werck', 0.005081132), ('saude', 0.004869868), ('bevonden', 0.004590262), ('omme', 0.0045203543), ('voorts', 0.0044490504), ('persoonen', 0.004413576), ('wierdt', 0.0043598656), ('voorn', 0.0043295193)]"
27,27,"[('jaere', 0.023986578), ('jaeren', 0.020648599), ('overleden', 0.017767131), ('paus', 0.015839027), ('sone', 0.014994672), ('dochter', 0.012750989), ('brabant', 0.0127150705), ('plaetse', 0.011869085), ('coninck', 0.011027962), ('broeder', 0.010968495), ('joannes', 0.010355969), ('suster', 0.009923468), ('begraven', 0.009314986), ('maria', 0.008948066), ('binnen', 0.008570966), ('vercoren', 0.008486035), ('carolus', 0.0077755046), ('anna', 0.007577703), ('hertog', 0.007425568), ('bisschop', 0.007053579), ('mechelen', 0.006347736), ('haeren', 0.0061430437), ('vrouw', 0.0060513704), ('loven', 0.0059750546), ('eersten', 0.0055998024), ('koninck', 0.005528705), ('hertogh', 0.0050745965), ('vranckrijcke', 0.00501121), ('ghestorven', 0.0049569965), ('meert', 0.0048140856)]"
28,28,"[('kerck', 0.010704126), ('kercke', 0.01050081), ('grave', 0.010422951), ('bisschop', 0.008930397), ('coningh', 0.006276063), ('synde', 0.0058892746), ('ower', 0.0055505964), ('clooster', 0.0051679416), ('iaer', 0.0050344504), ('choor', 0.0049753855), ('binnen', 0.0048613893), ('graef', 0.0047549447), ('processie', 0.0042846245), ('vlaenderen', 0.003990079), ('sich', 0.003870382), ('cardinael', 0.0037708483), ('vrouwe', 0.0037028426), ('kercken', 0.0034511983), ('staet', 0.0033659576), ('mechelen', 0.0032698708), ('henricus', 0.00326494), ('dede', 0.003236505), ('capelle', 0.003203149), ('princesse', 0.0031745671), ('engelandt', 0.0031509101), ('misse', 0.0030732558), ('dochter', 0.0030626117), ('haere', 0.0030357388), ('franciscus', 0.00302005), ('godt', 0.0030126725)]"
29,29,"[('livers', 0.015798897), ('sag', 0.009913321), ('pont', 0.009634935), ('hove', 0.008949795), ('johan', 0.008098572), ('poorte', 0.0077976584), ('meester', 0.0070007094), ('borgers', 0.0068601333), ('cornelis', 0.0062169805), ('pieter', 0.0056825927), ('advenant', 0.0055025513), ('magistraet', 0.005464017), ('nicolaes', 0.0052752336), ('brugge', 0.0052615837), ('geordineert', 0.0049957354), ('bedden', 0.004991216), ('gecondemneert', 0.004784448), ('haelen', 0.0047161905), ('tsamen', 0.004597553), ('stoel', 0.00450361), ('oploop', 0.0044682263), ('gent', 0.0042973026), ('andries', 0.0042418456), ('mandament', 0.0042098234), ('ouden', 0.0041852496), ('brouwer', 0.0040310603), ('buijten', 0.0039837663), ('prefect', 0.003961863), ('secretarissen', 0.0039361697), ('wacht', 0.0037822162)]"
